Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Image Src,Status
classic-tee,Classic Cotton T-Shirt,<p>Comfortable everyday cotton t-shirt. Perfect for casual wear.</p>,Demo Apparel,Apparel,clothing,TRUE,Size,Medium,TEE-001,24.99,100,https://picsum.photos/seed/tee1/800/800,active
denim-jeans,Premium Denim Jeans,<p>High-quality denim jeans with a modern fit. Durable and stylish.</p>,Demo Apparel,Apparel,clothing,TRUE,Size,32,JEAN-001,79.99,50,https://picsum.photos/seed/jean1/800/800,active
leather-wallet,Genuine Leather Wallet,<p>Handcrafted leather wallet with multiple card slots and bill compartment.</p>,Demo Accessories,Accessories,leather,TRUE,Color,Brown,WALLET-001,49.99,75,https://picsum.photos/seed/wallet1/800/800,active
running-shoes,Performance Running Shoes,<p>Lightweight running shoes designed for comfort and speed.</p>,Demo Footwear,Footwear,shoes,TRUE,Size,10,SHOE-001,129.99,40,https://picsum.photos/seed/shoe1/800/800,active
backpack,Urban Commuter Backpack,<p>Spacious backpack with laptop compartment. Perfect for daily commute.</p>,Demo Bags,Bags,travel,TRUE,Color,Black,BAG-001,89.99,60,https://picsum.photos/seed/bag1/800/800,active
sunglasses,Polarized Sunglasses,<p>UV protection polarized sunglasses with stylish frames.</p>,Demo Accessories,Accessories,eyewear,TRUE,Color,Black,GLASS-001,59.99,80,https://picsum.photos/seed/glass1/800/800,active
hoodie,Cozy Fleece Hoodie,<p>Warm and comfortable fleece hoodie. Perfect for cool weather.</p>,Demo Apparel,Apparel,clothing,TRUE,Size,Large,HOOD-001,54.99,90,https://picsum.photos/seed/hood1/800/800,active
watch,Minimalist Wrist Watch,<p>Elegant minimalist watch with leather strap. Timeless design.</p>,Demo Accessories,Accessories,watches,TRUE,Color,Silver,WATCH-001,149.99,30,https://picsum.photos/seed/watch1/800/800,active
yoga-mat,Premium Yoga Mat,<p>Non-slip yoga mat with extra cushioning. Eco-friendly materials.</p>,Demo Sports,Sports,fitness,TRUE,Color,Purple,YOGA-001,39.99,100,https://picsum.photos/seed/yoga1/800/800,active
water-bottle,Insulated Water Bottle,<p>Stainless steel insulated bottle. Keeps drinks cold for 24 hours.</p>,Demo Sports,Sports,hydration,TRUE,Size,32oz,BOTTLE-001,29.99,120,https://picsum.photos/seed/bottle1/800/800,active
laptop-sleeve,Protective Laptop Sleeve,<p>Padded laptop sleeve with water-resistant exterior. Fits 15-inch laptops.</p>,Demo Tech,Electronics,tech,TRUE,Size,15inch,SLEEVE-001,34.99,70,https://picsum.photos/seed/sleeve1/800/800,active
phone-case,Slim Phone Case,<p>Protective yet slim phone case. Wireless charging compatible.</p>,Demo Tech,Electronics,tech,TRUE,Model,iPhone,CASE-001,19.99,150,https://picsum.photos/seed/case1/800/800,active
notebook,Leather Bound Notebook,<p>Premium leather notebook with lined pages. Perfect for journaling.</p>,Demo Stationery,Stationery,writing,TRUE,Color,Tan,NOTE-001,24.99,85,https://picsum.photos/seed/note1/800/800,active
desk-lamp,LED Desk Lamp,<p>Adjustable LED desk lamp with touch controls. Energy efficient.</p>,Demo Home,Home,lighting,TRUE,Color,White,LAMP-001,44.99,55,https://picsum.photos/seed/lamp1/800/800,active
coffee-mug,Ceramic Coffee Mug,<p>Handcrafted ceramic mug. Microwave and dishwasher safe.</p>,Demo Home,Home,kitchen,TRUE,Size,12oz,MUG-001,14.99,200,https://picsum.photos/seed/mug1/800/800,active
throw-pillow,Decorative Throw Pillow,<p>Soft throw pillow with removable cover. Adds comfort to any space.</p>,Demo Home,Home,decor,TRUE,Color,Gray,PILLOW-001,29.99,95,https://picsum.photos/seed/pillow1/800/800,active
canvas-tote,Canvas Tote Bag,<p>Durable canvas tote bag. Perfect for shopping or beach trips.</p>,Demo Bags,Bags,eco-friendly,TRUE,Color,Natural,TOTE-001,19.99,110,https://picsum.photos/seed/tote1/800/800,active
baseball-cap,Classic Baseball Cap,<p>Adjustable baseball cap with embroidered logo. One size fits all.</p>,Demo Accessories,Accessories,hats,TRUE,Color,Navy,CAP-001,24.99,130,https://picsum.photos/seed/cap1/800/800,active
scented-candle,Lavender Scented Candle,<p>Hand-poured soy candle with calming lavender scent. 40-hour burn time.</p>,Demo Home,Home,candles,TRUE,Scent,Lavender,CANDLE-001,22.99,75,https://picsum.photos/seed/candle1/800/800,active
resistance-bands,Fitness Resistance Bands,<p>Set of 5 resistance bands for strength training. Includes carrying bag.</p>,Demo Sports,Sports,fitness,TRUE,Set,5-Pack,BAND-001,34.99,65,https://picsum.photos/seed/band1/800/800,active
